Suburb,Address,Type,Price,Rooms,Method,SellerG,Date,Distance,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Lattitude,Longtitude
Abbotsford,6/241 Nicholson St,u,300000,1,S,Biggin,8/10/2016,2.5,1,1,1,0,,,-37.8008,144.9973
Abbotsford,10 Valiant St,h,1097000,2,S,Biggin,8/10/2016,2.5,3,1,2,220,75,1900,-37.801,144.9989
Abbotsford,403/609 Victoria St,u,542000,2,S,Dingle,8/10/2016,2.5,,,,,,,,
Abbotsford,2 Rich St,h,,2,SP,Biggin,10/12/2016,2.5,2,1,1,176,80,1925,-37.7998,144.9972
Abbotsford,25/84 Trenerry Cr,u,760000,2,SP,Biggin,10/12/2016,2.5,,,,,,,,
Abbotsford,106/119 Turner St,u,481000,1,SP,Purplebricks,10/12/2016,2.5,,,,,,,,
Abbotsford,411/8 Grosvenor St,u,700000,2,VB,Jellis,12/11/2016,2.5,2,2,1,0,,,-37.811,145.0067
Abbotsford,40 Nicholson St,h,1350000,3,VB,Nelson,12/11/2016,2.5,3,2,2,214,190,2005,-37.8085,144.9964
Abbotsford,123/56 Nicholson St,u,750000,2,S,Biggin,12/11/2016,2.5,2,2,1,0,94,2009,-37.8078,144.9965
Abbotsford,22 Park St,h,1985000,4,S,Biggin,12/11/2016,2.5,,,,,,,-37.8084,144.9942
Abbotsford,13/84 Trenerry Cr,u,500000,1,S,Biggin,12/11/2016,2.5,,,,,,,,
Abbotsford,45 William St,h,1172500,2,S,Biggin,13/08/2016,2.5,2,1,1,195,,,-37.8084,144.9973
Abbotsford,7/20 Abbotsford St,u,441000,1,SP,Greg,14/05/2016,2.5,1,1,1,0,,,-37.8016,144.9988
Abbotsford,16 William St,h,1310000,2,S,Jellis,15/10/2016,2.5,2,1,2,238,97,1890,-37.809,144.9976
Abbotsford,16/11 Nicholson St,u,,3,PI,Philip,16/04/2016,2.5,3,2,2,0,129,2010,-37.8093,144.9959
Abbotsford,42 Henry St,h,1200000,3,S,Jellis,16/07/2016,2.5,3,2,1,113,110,1880,-37.8056,144.993
Abbotsford,250 Langridge St,t,847000,2,S,Jellis,16/07/2016,2.5,,,,,,,,
Abbotsford,16b Mollison St,h,,2,PI,Biggin,16/07/2016,2.5,,,,,,,,
Abbotsford,78 Yarra St,h,1176500,3,S,LITTLE,16/07/2016,2.5,2,1,1,138,105,1890,-37.8021,144.9965
Abbotsford,196 Nicholson St,h,955000,3,S,Collins,17/09/2016,2.5,3,1,0,183,,,-37.8022,144.9975
Abbotsford,42 Valiant St,h,890000,2,S,Biggin,17/09/2016,2.5,2,1,1,150,73,1985,-37.8011,145.0004
Abbotsford,3/72 Charles St,h,1330000,4,PI,Kay,18/03/2017,2.5,4,2,2,780,135,1900,-37.8073,144.9952
Abbotsford,1/1 Mayfield St,h,,3,SP,Nelson,18/03/2017,2.5,3,2,1,119,167,2005,-37.8082,144.9999
Abbotsford,13/11 Nicholson St,t,900000,3,S,Beller,18/03/2017,2.5,3,2,2,0,,2010,-37.8093,144.9959
Abbotsford,138/56 Nicholson St,u,1090000,3,S,Jellis,18/03/2017,2.5,3,2,2,4290,27,,-37.8078,144.9965
Abbotsford,6/219 Nicholson St,u,500000,2,S,Collins,18/06/2016,2.5,2,1,1,0,60,1970,-37.8015,144.9972
Abbotsford,52a William St,h,1100000,2,PI,Biggin,18/06/2016,2.5,2,2,1,124,135,2013,-37.8079,144.9977
Abbotsford,49 Park St,h,1315000,2,S,Marshall,19/11/2016,2.5,2,1,0,147,85,1900,-37.808,144.994
Abbotsford,65/80 Trenerry Cr,u,480000,1,S,Biggin,19/11/2016,2.5,,,,,,,,
Abbotsford,119/52 Nicholson St,u,423500,1,S,hockingstuart,22/05/2016,2.5,,,,,,,,
Abbotsford,8b Park St,h,,4,PI,Biggin,22/05/2016,2.5,,,,,,,-37.8092,144.9941
Abbotsford,5/20 Abbotsford St,u,426000,1,SP,Greg,22/08/2016,2.5,1,1,1,0,,,-37.8016,144.9988
Abbotsford,48 Abbotsford St,h,1447500,3,PI,Nelson,22/08/2016,2.5,3,3,1,166,174,2012,-37.8017,145.0001
Abbotsford,116/56 Nicholson St,u,457000,1,S,Jellis,22/08/2016,2.5,1,1,1,0,50,,-37.8078,144.9965
Abbotsford,159 Park St,h,1135000,2,S,Nelson,22/08/2016,2.5,2,2,2,98,128,1920,-37.8005,144.9952
Abbotsford,49/84 Trenerry Cr,h,700000,2,S,Biggin,23/04/2016,2.5,,,,,,,,
Abbotsford,31 Turner St,h,1542000,4,S,Collins,24/09/2016,2.5,4,3,1,0,,,-37.7994,144.9965
Abbotsford,17/1 Abbot St,t,962000,3,SP,Jellis,25/02/2017,2.5,,,,,,,-37.7972,144.9969
Abbotsford,166 Gipps St,h,1290000,3,S,Biggin,25/02/2017,2.5,3,2,2,147,18,,-37.805,144.9943
Abbotsford,60 Stafford St,h,1290000,3,S,Biggin,25/02/2017,2.5,3,1,1,168,124,1950,-37.8007,144.9958
Abbotsford,11/205 Gipps St,u,470000,1,S,Nelson,26/07/2016,2.5,1,1,1,0,50,2013,-37.8055,144.9961
Abbotsford,47 Studley St,h,1180000,2,S,Jellis,27/11/2016,2.5,2,1,0,162,91,1900,-37.8016,144.9956
Abbotsford,45 Yarra St,h,1195000,3,SP,Jellis,27/11/2016,2.5,3,2,1,120,128,1998,-37.8022,144.9954
Abbotsford,4/328 Johnston St,u,,2,PI,Biggin,28/05/2016,2.5,,,,,,,,
Abbotsford,200 Nicholson St,h,1012500,2,S,Nelson,28/05/2016,2.5,2,1,0,182,82,1900,-37.8021,144.9976
Abbotsford,82/84 Trenerry Cr,u,970000,2,SP,Biggin,28/05/2016,2.5,,,,,,,,
Abbotsford,27 Charles St,h,1030000,2,S,Biggin,30/07/2016,2.5,2,1,1,172,81,1930,-37.8086,144.9946
Abbotsford,22 Park St,h,,4,W,Biggin,30/07/2016,2.5,,,,,,,-37.8084,144.9942
Abbotsford,40/80 Trenerry Cr,h,927000,3,S,Biggin,30/07/2016,2.5,,,,,,,,
Airport West,154 Halsey Rd,t,840000,3,PI,Nelson,3/09/2016,13.5,3,2,1,303,225,2016,-37.718,144.878
Airport West,50 Bedford St,h,730000,3,VB,Nelson,3/12/2016,13.5,3,2,1,0,145,1965,-37.7203,144.8755
Airport West,50 Bedford St,h,770000,3,SP,Nelson,4/03/2017,13.5,3,2,1,0,145,1965,-37.7203,144.8755
Airport West,5 Harrington Rd,h,,3,S,Brad,4/03/2017,13.5,3,1,1,580,114,1960,-37.7235,144.8736
Airport West,23 Hart St,h,603000,2,S,Nelson,4/03/2017,13.5,2,1,1,272,84,1950,-37.7294,144.888
Airport West,1/80 Hawker St,t,700000,3,S,Brad,4/03/2017,13.5,3,2,2,239,134,2009,-37.7218,144.8837
Airport West,1/37 Hillside Gr,h,600000,3,S,Maddison,4/03/2017,13.5,2,1,1,290,116,1980,-37.7273,144.8744
Airport West,2/49 McIntosh St,u,500000,2,VB,Barry,4/03/2017,13.5,2,1,1,168,86,2011,-37.7215,144.8864
Airport West,4/9 West Ct,t,420000,2,VB,Barry,4/06/2016,13.5,,,,,,,,
Airport West,1/36 York St,t,500000,3,VB,Nelson,4/06/2016,13.5,,,,,,,,
Airport West,33 Bowes Av,h,1035000,5,S,Airport,6/08/2016,13.5,,,,,,,,
Airport West,89 Bowes Av,h,960000,4,S,Barry,6/08/2016,13.5,,,,,,,,
Airport West,45 Laurence Av,h,960000,4,S,Nelson,6/08/2016,13.5,,,,,,,,
Airport West,54 Marshall Rd,h,720000,3,S,Barry,6/08/2016,13.5,2,1,1,620,,,-37.7173,144.8872
Airport West,36 Roberts Rd,h,785000,4,S,Considine,6/08/2016,13.5,3,1,2,597,127,,-37.7259,144.8792
Airport West,11 Harrington Rd,h,725000,6,SP,Barry,7/05/2016,13.5,6,3,2,976,186,1980,-37.7239,144.8735
Airport West,2/252 Parer Rd,t,450000,2,S,Barry,7/05/2016,13.5,2,1,1,110,90,2015,-37.7216,144.871
Airport West,3/19 Hart St,u,515000,2,S,Barry,7/11/2016,13.5,2,1,1,141,73,2013,-37.7298,144.8883
Airport West,81a Roberts Rd,h,680000,3,VB,Nelson,8/10/2016,13.5,,,,,,,,
Airport West,2/62 Clydesdale Rd,u,530000,2,S,Nelson,10/09/2016,13.5,2,1,1,120,94,2012,-37.7234,144.8792
Airport West,3 Deidre Ct,h,895000,3,PI,Rendina,10/09/2016,13.5,3,1,6,1063,133,1975,-37.7249,144.8728
Airport West,3/24 Elstone Av,u,600000,3,VB,Nelson,10/09/2016,13.5,,,,,,,,
Airport West,13 Etzel St,h,805000,3,S,Nelson,10/12/2016,13.5,3,1,1,0,105,1950,-37.7217,144.8783
Airport West,37a North St,t,760000,3,PI,Barry,10/12/2016,13.5,,,,,,,,
Airport West,1/43 Cameron St,u,752000,3,S,Nelson,11/02/2017,13.5,3,1,1,265,130,1993,-37.7302,144.8855
Airport West,1/69 Bowes Av,u,580000,3,VB,Nelson,12/11/2016,13.5,,,,,,,,
Airport West,2/9 El Reno Cr,h,725000,3,PI,Ray,12/11/2016,13.5,,,,,,,,
Airport West,92 McNamara Av,h,758000,4,S,Jellis,13/08/2016,13.5,,,,,,,,
Airport West,145a Victory Rd,u,440000,2,S,Barry,13/08/2016,13.5,2,1,1,192,,,-37.7177,144.8787
Airport West,20 Creswell Av,h,970000,3,S,Barry,14/05/2016,13.5,,,,,,,,
Airport West,241 Parer Rd,h,755000,5,PI,Propertyau,14/05/2016,13.5,3,2,2,596,,,-37.7248,144.8699
Airport West,71 Bowes Av,h,985000,4,S,Barry,15/10/2016,13.5,,,,,,,,
Airport West,2/40 Earl St,t,700000,3,PI,Brad,15/10/2016,13.5,3,2,2,165,133,2009,-37.727,144.887
Airport West,2/112 Parer Rd,u,509500,2,SP,Nelson,15/10/2016,13.5,,,,,,,,
Airport West,180 Parer Rd,h,830000,3,S,Barry,16/04/2016,13.5,3,1,2,971,113,1960,-37.7186,144.876
Airport West,4/54 Hawker St,u,462500,2,S,Barry,16/07/2016,13.5,2,1,1,164,,2003,-37.7218,144.8863
Airport West,43 Hillside Gr,h,670000,3,SP,Barry,16/07/2016,13.5,3,2,2,657,,,-37.7269,144.8742
Airport West,174 Parer Rd,h,675000,2,S,Barry,16/07/2016,13.5,2,1,1,612,100,1975,-37.7187,144.8765
Airport West,138 Victory Rd,h,1042000,3,S,Nelson,16/07/2016,13.5,3,2,5,612,174,1950,-37.7173,144.8796
Airport West,75 King St,h,910000,3,S,McDonald,17/09/2016,13.5,3,1,1,775,,,-37.7231,144.8835
Airport West,6 Kittyhawk St,h,773000,4,S,Brad,17/09/2016,13.5,5,3,4,531,309,1980,-37.7263,144.8679
Airport West,7 McNamara Av,h,715000,3,S,Barry,17/09/2016,13.5,,,,,,,,
Airport West,478 Fullarton Rd,h,810000,3,PI,Barry,18/03/2017,13.5,3,3,2,555,192,1980,-37.7285,144.8694
Airport West,144 Marshall Rd,h,715000,3,S,Rendina,18/03/2017,13.5,3,2,2,422,126,1995,-37.7164,144.8792
Airport West,106 Parer Rd,h,790000,3,S,Nelson,18/03/2017,13.5,3,1,3,614,,,-37.7194,144.8827
Airport West,1/41 Hillside Gr,t,460000,2,VB,Nelson,18/06/2016,13.5,,,,,,,,
Airport West,3/7 South Rd,t,540000,3,SP,Nelson,18/06/2016,13.5,2,2,1,161,101,2010,-37.7231,144.8802
Airport West,37 North St,t,825000,3,SP,Barry,19/11/2016,13.5,3,2,1,293,102,1960,-37.72,144.8776
Airport West,10 Hilbert Rd,h,685000,3,S,Barry,22/05/2016,13.5,3,1,1,579,113,1975,-37.7226,144.8733
Airport West,7/42 York St,u,445000,3,S,Brad,22/05/2016,13.5,,,,,,,,
Airport West,110 Halsey Rd,h,805000,3,S,Barry,22/08/2016,13.5,3,1,1,623,,,-37.7184,144.882
Airport West,2/13 North St,u,510000,2,S,Nelson,22/08/2016,13.5,2,1,1,141,76,,-37.7202,144.8797
Airport West,105a Victory Rd,h,612000,3,S,Nelson,22/08/2016,13.5,3,2,1,212,,,-37.7181,144.8824
Airport West,117 Marshall Rd,h,662000,3,S,Brad,23/04/2016,13.5,3,1,2,612,,,-37.7169,144.8815
Airport West,34 Moorna Dr,h,978000,4,S,Nelson,24/09/2016,13.5,4,3,2,532,,,-37.7263,144.869
Airport West,2/89 Marshall Rd,u,,3,VB,Barry,25/02/2017,13.5,,,,,,,,
Airport West,33 North St,h,720000,3,PI,Nelson,25/02/2017,13.5,3,1,1,585,,,-37.72,144.878
Airport West,4/40 McNamara Av,u,474000,2,PI,Barry,26/07/2016,13.5,,,,,,,,
Airport West,5/93 McNamara Av,t,490000,2,SP,Frank,26/07/2016,13.5,,,,,,,,
Airport West,2/137 McNamara Av,h,405000,3,S,Ray,27/06/2016,13.5,,,,,,,,
Airport West,1/46 Bowes Av,t,715000,3,S,Barry,27/11/2016,13.5,,,,,,,,
Airport West,1/34 Elstone Av,u,671500,3,S,McDonald,27/11/2016,13.5,,,,,,,,
Airport West,49 Roberts Rd,h,765000,4,S,Prof.,27/11/2016,13.5,4,1,2,509,,,-37.7261,144.8785
Airport West,85 Roberts Rd,h,900000,4,S,Harcourts,27/11/2016,13.5,4,2,3,628,146,1975,-37.7256,144.8739
Airport West,22a Walters Av,u,820000,3,S,Nelson,28/08/2016,13.5,,,,,,,,
Airport West,1/145 Parer Rd,u,650000,3,PI,Nelson,30/07/2016,13.5,,,,,,,,
Airport West,3/35 Walters Av,t,552000,3,SP,Nelson,30/07/2016,13.5,,,,,,,,
Albert Park,105 Kerferd Rd,h,1275000,2,S,hockingstuart,3/09/2016,3.3,2,1,0,120,82,1900,-37.8459,144.9555
Albert Park,85 Richardson St,h,1455000,2,S,Thomson,3/09/2016,3.3,2,1,0,159,,,-37.845,144.9538
Albert Park,112 Beaconsfield Pde,h,2850000,3,PI,Buxton,4/03/2017,3.3,3,2,0,211,198,1890,-37.8481,144.9499
Albert Park,94 Graham St,h,1850000,3,S,Greg,4/03/2017,3.3,3,2,0,128,133,1890,-37.8452,144.9488
Albert Park,14 Merton St,h,,2,SP,Marshall,4/03/2017,3.3,2,1,0,215,,1900,-37.8405,144.953
Albert Park,396 Montague St,h,1436000,2,S,RT,4/03/2017,3.3,2,1,0,130,81,1900,-37.8431,144.9565
Albert Park,9 Boyd St,h,,3,SN,Greg,6/08/2016,3.3,2,2,1,336,145,1890,-37.8471,144.9561
Albert Park,75 Graham St,h,1110000,2,S,Marshall,6/08/2016,3.3,1,1,0,147,,1900,-37.8444,144.9484
Albert Park,54 Brooke St,h,1550000,2,S,Sotheby's,7/05/2016,3.3,2,1,1,167,,,-37.8405,144.9521
Albert Park,104 Richardson St,h,2300000,4,S,Marshall,7/05/2016,3.3,4,2,1,153,180,1880,-37.8447,144.9523
Albert Park,81 Richardson St,h,,3,S,Marshall,7/05/2016,3.3,3,1,2,316,125,1880,-37.8449,144.9536
Albert Park,4a Mills St,t,1550000,3,VB,Marshall,7/11/2016,3.3,3,2,2,718,,,-37.8443,144.9598
Albert Park,1 Moubray St,h,1800000,3,VB,Greg,7/11/2016,3.3,3,2,1,132,159,1996,-37.8415,144.952
Albert Park,114 Victoria Av,h,2485000,3,S,Cayzer,8/10/2016,3.3,,,,,,,,
Albert Park,29 Faussett St,h,2120000,2,S,Greg,10/09/2016,3.3,2,1,1,199,107,1900,-37.8422,144.9554
Albert Park,3 Herbert St,h,1800000,3,VB,Cayzer,10/09/2016,3.3,3,1,1,253,,,-37.8443,144.9579
Albert Park,24 Kerferd Pl,h,1800000,3,S,Marshall,10/09/2016,3.3,3,2,1,90,122,1900,-37.8421,144.9571
Albert Park,5 Withers St,h,,3,SN,Marshall,10/09/2016,3.3,3,1,0,126,88,1910,-37.8427,144.9515
Albert Park,44 Draper St,h,1810000,2,PI,Greg,10/12/2016,3.3,2,1,0,240,,,-37.8379,144.9539
Albert Park,2 Dundas Pl,h,2615000,3,S,Cayzer,10/12/2016,3.3,3,2,1,177,181,1880,-37.8415,144.9585
Albert Park,23 Finlay St,h,2100000,5,S,Greg,10/12/2016,3.3,5,2,1,237,,,-37.8436,144.9557
Albert Park,31 Richardson St,h,1300000,3,S,hockingstuart,10/12/2016,3.3,3,1,0,129,,,-37.8422,144.949
Albert Park,4a Gatehouse La,h,1370000,3,S,Greg,12/06/2016,3.3,3,2,2,0,85,2000,-37.8451,144.9511
Albert Park,60 Brooke St,h,1000000,2,S,Cayzer,12/11/2016,3.3,2,1,0,288,,,-37.8407,144.9523
Albert Park,140 Danks St,h,,2,SP,Marshall,13/08/2016,3.3,2,1,2,366,117,1900,-37.847,144.9506
Albert Park,70 Barrett St,h,2575000,3,S,Greg,15/10/2016,3.3,3,2,1,228,,,-37.8445,144.9501
Albert Park,65 Graham St,h,1322500,2,S,Greg,15/10/2016,3.3,2,1,0,149,98,1890,-37.8443,144.9481
Albert Park,1 Herbert Pl,h,,2,S,hockingstuart,15/10/2016,3.3,2,1,1,152,,,-37.8437,144.959
Albert Park,364 Montague St,h,1562500,2,S,Greg,15/10/2016,3.3,2,1,0,141,83,1890,-37.8424,144.9562
Albert Park,86 Mills St,h,2000000,3,VB,RT,16/04/2016,3.3,3,2,1,211,147,1900,-37.847,144.9575
Albert Park,28 Dinsdale St,h,,4,S,Marshall,17/09/2016,3.3,3,1,0,236,,,-37.8454,144.9521
Albert Park,90 Danks St,h,,3,S,Marshall,18/03/2017,3.3,3,1,2,300,,,-37.8457,144.9479
Albert Park,129 Kerferd Rd,h,1900000,3,S,Greg,18/03/2017,3.3,3,1,0,209,,1900,-37.8468,144.9546
Albert Park,97 Page St,h,3010000,3,S,Greg,18/03/2017,3.3,3,2,0,147,146,1890,-37.8473,144.9551
Albert Park,36 Ashworth St,h,,3,SP,Marshall,18/06/2016,3.3,3,1,0,173,,,-37.8482,144.9513
Albert Park,55 Withers St,h,2800000,4,VB,Cayzer,18/06/2016,3.3,4,3,1,327,254,1910,-37.8467,144.9475
Albert Park,18 Herbert St,h,,3,SN,Cayzer,19/11/2016,3.3,3,1,0,169,,,-37.8448,144.9578
Albert Park,10/140 Kerferd Rd,u,647000,2,S,Greg,22/05/2016,3.3,2,1,1,0,,,-37.846,144.9542
Albert Park,9 Merton Pl,h,,3,SP,Marshall,22/05/2016,3.3,3,2,1,122,,,-37.845,144.9545
Albert Park,55 Merton St,h,2100000,3,SP,Marshall,23/04/2016,3.3,2,1,1,120,123,1900,-37.8427,144.9546
Albert Park,16 Dinsdale St,h,,3,S,Greg,24/09/2016,3.3,3,2,1,241,119,1990,-37.8452,144.9518
Albert Park,51 Graham St,h,,2,PI,Marshall,24/09/2016,3.3,2,2,1,225,,,-37.8441,144.9479
Albert Park,143 Kerferd Rd,h,,7,SN,hockingstuart,24/09/2016,3.3,7,7,0,435,,,-37.8473,144.9539
Albert Park,49 Page St,h,2000000,3,PI,Marshall,24/09/2016,3.3,3,1,1,238,131,1890,-37.8461,144.9528
Albert Park,13/52 Moubray St,u,442500,1,S,Marshall,25/02/2017,3.3,1,1,0,0,34,1970,-37.8421,144.9517
Albert Park,115 Page St,h,4735000,4,S,Marshall,25/02/2017,3.3,4,2,1,330,207,1910,-37.8477,144.9558
Albert Park,32 Page St,h,1340000,2,S,Greg,25/02/2017,3.3,2,1,0,136,,,-37.846,144.9517
Albert Park,34 Richardson St,h,1801000,3,S,hockingstuart,25/02/2017,3.3,3,1,1,202,,,-37.8429,144.9493
Albert Park,2b Dundas Pl,h,1532000,3,S,Chisholm,26/07/2016,3.3,3,3,1,0,,,-37.8415,144.9585
Albert Park,22 Greig St,h,3755000,3,S,Greg,26/07/2016,3.3,3,2,2,325,,,-37.8413,144.95
Albert Park,27 Barrett St,h,2140000,4,S,Greg,27/06/2016,3.3,3,2,1,183,145,1880,-37.8434,144.9495
Albert Park,3 Faussett St,u,1810000,2,PI,Marshall,27/06/2016,3.3,,,,,,,,
Albert Park,44 Greig St,h,1750000,2,S,Marshall,27/11/2016,3.3,2,1,1,162,,,-37.8416,144.9488
Albert Park,6 Brooke St,h,980000,2,S,Greg,28/05/2016,3.3,2,1,0,79,68,1890,-37.8387,144.9519
Albert Park,7 Herbert Pl,h,,2,SP,Marshall,28/05/2016,3.3,2,1,0,99,65,1900,-37.8438,144.9588
Albert Park,8 Kerferd Pl,h,,4,SP,Marshall,28/05/2016,3.3,4,2,0,230,185,1900,-37.842,144.958
Albert Park,5 Reed St,h,,3,SN,Greg,28/05/2016,3.3,3,2,1,141,,,-37.8446,144.945
Albert Park,227a Danks St,h,2030000,3,S,hockingstuart,28/08/2016,3.3,3,2,0,152,,,-37.8488,144.9551
Albert Park,17 Reed St,h,1740000,3,PI,Marshall,28/08/2016,3.3,3,2,2,147,134,1890,-37.8448,144.9453
Albert Park,74 Bridport St,h,2800000,3,VB,Buxton,30/07/2016,3.3,3,3,1,0,,,-37.8399,144.9577
Albert Park,9 Durham St,h,985000,1,S,Marshall,30/07/2016,3.3,1,1,0,81,54,1900,-37.8411,144.9497
Alphington,30 Austin St,h,,3,SN,McGrath,3/09/2016,6.4,3,2,1,174,122,2003,-37.7818,145.0198
Alphington,6 Smith St,h,2000000,4,S,Brace,3/09/2016,6.4,3,2,4,853,263,1930,-37.7707,145.0318
Alphington,5/6 Yarralea St,h,1110000,3,S,Jellis,3/09/2016,6.4,3,2,2,208,,2013,-37.7854,145.0325
Alphington,136A Fulham Rd,h,1492000,3,S,Jellis,4/03/2017,6.4,3,2,2,411,,,-37.7713,145.0279
Alphington,1/9 Roemer Cr,u,480000,2,PI,Miles,7/05/2016,6.4,,,,,,,,
Alphington,4 Tuckett St,h,,3,S,Jellis,7/05/2016,6.4,3,1,3,922,,,-37.7812,145.0235
Alphington,2/21 Fulham Rd,t,1304000,3,SP,Holland,8/10/2016,6.4,,,,,,,,
Alphington,44 Shiers St,h,1717500,4,S,Collins,8/10/2016,6.4,4,2,1,599,203,1925,-37.7717,145.031
Alphington,83 Fulham Rd,h,2840000,5,S,Nelson,12/06/2016,6.4,5,4,4,809,165,1910,-37.775,145.0268
Alphington,29 Alphington St,h,,5,S,Collins,12/11/2016,6.4,5,3,4,743,,1915,-37.7845,145.0208
Alphington,3/19 Harker St,u,525500,2,S,Miles,12/11/2016,6.4,2,1,1,88,60,1960,-37.7791,145.0306
Alphington,4/2 Miller St,t,805000,2,S,Miles,12/11/2016,6.4,2,2,3,155,140,2004,-37.7804,145.0308
Alphington,2/5 Yarana Rd,u,465000,2,S,McGrath,12/11/2016,6.4,2,1,1,0,,,-37.7773,145.0314
Alphington,4/5 Chandler Hwy,t,,4,PN,Nelson,13/08/2016,6.4,,,,,,,,
Alphington,69 Lucerne Cr,h,1480000,3,S,Nelson,13/08/2016,6.4,,,,,,,,
Alphington,815 Heidelberg Rd,h,2000000,3,PI,hockingstuart,15/10/2016,6.4,3,3,2,686,,,-37.78,145.0341
Alphington,44 Naroon Rd,h,1540000,3,S,Nelson,16/04/2016,6.4,3,1,2,592,,,-37.7755,145.0288
Alphington,11 Tower Av,h,,4,S,Jellis,16/04/2016,6.4,,,,,,,,
Alphington,1/17 Rex Av,u,590000,2,PI,Nelson,17/09/2016,6.4,,,,,,,,
Alphington,3/98 Grange Rd,u,820000,2,S,Nelson,18/03/2017,6.4,2,1,1,183,,,-37.7747,145.0264
Alphington,10 Bennett St,h,1830000,4,S,Nelson,19/11/2016,6.4,4,2,2,606,112,1970,-37.7743,145.0316
Alphington,38 Bennett St,h,2100000,4,S,Nelson,19/11/2016,6.4,4,2,2,575,271,2008,-37.7723,145.0319
Alphington,2c Hamilton St,h,865000,3,SP,hockingstuart,22/05/2016,6.4,3,1,1,180,131,2010,-37.7802,145.0243
Alphington,5/5 Yarana Rd,u,390000,2,VB,Nelson,22/05/2016,6.4,2,1,1,0,60,1960,-37.7773,145.0314
Alphington,7/7 Chandler Hwy,t,650000,2,SP,Brace,24/09/2016,6.4,0,1,0,0,,,-37.7848,145.025
Alphington,1/14 Fulham Rd,u,512000,2,S,Love,25/02/2017,6.4,2,1,1,0,61,1965,-37.7805,145.0262
Alphington,17 Lowther St,h,1361000,3,S,Collins,25/02/2017,6.4,,,,,,,-37.7796,145.0285
Alphington,29 Naroon Rd,h,,4,SP,Jellis,25/02/2017,6.4,4,2,2,597,,,-37.7765,145.0283
Alphington,13a Fulham Rd,h,1310000,3,S,Jellis,26/07/2016,6.4,,,,,,,,
Alphington,32/23 Coate Av,h,570000,3,VB,Thomas,27/06/2016,6.4,,,,,,,,
Alphington,22 Lowther St,h,1165000,3,S,Barry,27/06/2016,6.4,3,1,2,979,,,-37.7792,145.029
Alphington,6/11 Broomfield Av,u,530000,2,S,Jellis,27/11/2016,6.4,,,,,,,,
Alphington,11 Margaret Gr,h,1900000,4,SP,McGrath,27/11/2016,6.4,4,2,2,556,272,1930,-37.7844,145.0225
Alphington,21 Como St,h,,5,SN,Nelson,28/08/2016,6.4,5,2,2,552,211,1916,-37.7829,145.0337
Alphington,6 Naroon Rd,h,1485000,3,SP,McGrath,28/08/2016,6.4,3,0,0,597,,,-37.7781,145.0284
Alphington,42 Shiers St,h,1950000,4,S,Jellis,30/07/2016,6.4,4,2,3,589,210,1920,-37.7719,145.0309
Altona,158 Queen St,h,520000,3,VB,Greg,3/09/2016,13.8,3,2,1,352,242,2015,-37.87,144.825
Altona,59 Bracken Gr,h,1525000,5,S,Greg,3/12/2016,13.8,5,3,3,729,268,2005,-37.8721,144.8105
